plot_id,cotton_px
plotid_101,8059
plotid_102,2979
plotid_103,9203
plotid_104,7884
plotid_105,27811
plotid_106,26495
plotid_107,21423
plotid_108,9023
plotid_109,5339
plotid_110,16714
plotid_201,10064
plotid_202,4036
plotid_203,7695
plotid_204,4821
plotid_205,8583
plotid_206,9130
plotid_207,10909
plotid_208,4746
plotid_209,20877
plotid_210,18499
plotid_301,7999
plotid_302,8861
plotid_303,15457
plotid_304,10381
plotid_305,15090
plotid_306,6764
plotid_307,9706
plotid_308,13893
plotid_309,12038
plotid_310,11792
plotid_401,7361
plotid_402,15602
plotid_403,9285
plotid_404,23488
plotid_405,9621
plotid_406,19105
plotid_407,15407
plotid_408,10829
plotid_409,13489
plotid_410,10103
plotid_501,9315
plotid_502,5225
plotid_503,14978
plotid_504,17607
plotid_505,12877
plotid_506,6402
plotid_507,19608
plotid_508,10456
plotid_509,13381
plotid_510,11873
plotid_601,14350
plotid_602,11056
plotid_603,9380
plotid_604,6717
plotid_1001,2978
plotid_1002,9359
plotid_1003,4493
plotid_1004,16404
plotid_1005,6546
plotid_1006,10437
plotid_1007,14007
plotid_1008,2185
plotid_1009,952
plotid_1010,1651
plotid_1101,2246
plotid_1102,6251
plotid_1103,7438
plotid_1104,514
plotid_1105,246
plotid_1106,13946
plotid_1107,4038
plotid_1108,4562
plotid_1109,75
plotid_1110,4179
plotid_1201,18186
plotid_1202,5224
plotid_1203,11300
plotid_1204,10727
plotid_1205,8248
plotid_1206,1012
plotid_1207,11378
plotid_1208,14724
plotid_1209,656
plotid_1210,960
plotid_1301,5071
plotid_1302,3182
plotid_1303,7142
plotid_1304,16496
plotid_1305,1713
plotid_1306,15344
plotid_1307,28145
plotid_1308,1044
plotid_1309,12141
plotid_1310,3232
plotid_1401,5510
plotid_1402,6773
plotid_1403,6402
plotid_1404,17492
plotid_1405,9258
plotid_1406,3644
plotid_1407,19964
plotid_1408,10349
plotid_1409,12114
plotid_1410,13285
plotid_1501,3108
plotid_1502,1030
plotid_1503,18482
plotid_1504,19477
plotid_1505,4124
plotid_1506,19851
plotid_1507,17177
plotid_1508,18012
plotid_1509,9054
plotid_1510,14305
plotid_1601,8944
plotid_1602,7008
plotid_1603,3740
plotid_1604,18204
plotid_1605,3092
plotid_1606,10421
plotid_1607,13295
plotid_1608,3611
plotid_1609,33170
plotid_1610,15048
plotid_1701,31937
plotid_1702,1460
plotid_1703,13724
plotid_1704,9611
plotid_1705,8670
plotid_1706,19114
plotid_1707,9331
plotid_1708,14837
plotid_1709,18808
plotid_1710,17986
plotid_1801,22381
plotid_1802,6618
plotid_1803,7544
plotid_1804,10826
plotid_1805,22499
plotid_1806,29364
plotid_1807,22791
plotid_1808,14816
plotid_1809,14011
plotid_1810,12971
plotid_1900,20190
plotid_1901,31612
plotid_1902,19736
plotid_1903,11124
plotid_1904,7825
plotid_1905,20926
plotid_1906,23228
plotid_1907,8088
plotid_1908,8871
plotid_1909,17820
plotid_1910,24794
plotid_2000,14381
plotid_2001,29986
plotid_2002,31129
plotid_2003,30110
plotid_2004,15463
plotid_2005,22862
plotid_2006,27172
plotid_2007,16324
plotid_2008,13601
plotid_2009,18888
plotid_2010,26137
plotid_2100,20268
plotid_2101,17283
plotid_2102,27040
plotid_2103,23366
plotid_2104,26109
plotid_2105,23127
plotid_2106,12393
plotid_2107,31280
plotid_2108,32561
plotid_2109,37644
plotid_2110,18501
plotid_2200,5561
plotid_2201,16395
plotid_2202,12207
plotid_2203,24448
plotid_2204,21428
plotid_2205,9600
plotid_2206,8804
plotid_2207,17636
plotid_2208,7252
plotid_2209,42338
plotid_2210,14703
plotid_2300,25029
plotid_2301,8417
plotid_2302,8623
plotid_2303,13986
plotid_2304,13951
plotid_2305,22023
plotid_2306,9345
plotid_2307,14126
plotid_2308,12155
plotid_2309,12017
plotid_2310,17268
plotid_2400,15544
plotid_2401,34280
plotid_2402,17309
plotid_2403,21294
plotid_2404,11364
plotid_2405,12226
plotid_2406,16043
plotid_2407,18831
plotid_2408,13563
plotid_2409,17077
plotid_2410,28317
plotid_2500,20247
plotid_2501,31813
plotid_2502,14272
plotid_2503,15875
plotid_2504,13789
plotid_2505,13600
plotid_2506,5333
plotid_2507,4095
plotid_2508,8360
plotid_2509,18848
plotid_2510,11607
plotid_2600,7842
plotid_2601,26109
plotid_2602,11371
plotid_2603,20104
plotid_2604,9817
plotid_2605,16732
plotid_2606,11751
plotid_2607,12535
plotid_2608,6332
plotid_2609,15597
plotid_2610,14873
plotid_2700,19402
plotid_2701,17512
plotid_2702,12929
plotid_2703,16298
plotid_2704,3728
plotid_2705,19089
plotid_2706,19104
plotid_2707,9936
plotid_2708,931
plotid_2709,19396
plotid_2710,19893
plotid_2800,11095
plotid_2801,9259
plotid_2802,22140
plotid_2803,13314
plotid_2804,23601
plotid_2805,10905
plotid_2806,12306
plotid_2807,7339
plotid_2808,3128
plotid_2809,28936
plotid_2810,7386
plotid_2901,1648
plotid_2902,25667
plotid_2903,6428
plotid_2904,6044
plotid_2905,15570
plotid_2906,9175
plotid_2907,11649
plotid_2908,10460
plotid_2909,12364
plotid_2910,17986
plotid_3000,7005
plotid_3001,7759
plotid_3002,1674
plotid_3003,5416
plotid_3004,4660
plotid_3005,3970
plotid_3006,4807
plotid_3007,4338
plotid_3008,11054
plotid_3009,12875
plotid_3010,14814
plotid_3100,14800
plotid_3101,12383
plotid_3102,20217
plotid_3103,13737
plotid_3104,4626
plotid_3105,12374
plotid_3106,10632
plotid_3107,14379
plotid_3108,7035
plotid_3109,9520
plotid_3110,12705
plotid_3200,6465
plotid_3201,9050
plotid_3202,14013
plotid_3203,20951
plotid_3204,11308
plotid_3205,17172
plotid_3206,12084
plotid_3207,6325
plotid_3208,19626
plotid_3209,18551
plotid_3210,25383
plotid_3300,13679
plotid_3301,14791
plotid_3302,12658
plotid_3303,20963
plotid_3304,14083
plotid_3305,24037
plotid_3306,22585
plotid_3307,24467
plotid_3308,17951
plotid_3309,18524
plotid_3310,30526
plotid_3400,19620
plotid_3401,8781
plotid_3402,11913
plotid_3403,22861
plotid_3404,9159
plotid_3405,9047
plotid_3406,17681
plotid_3407,22839
plotid_3408,17993
plotid_3409,50089
plotid_3410,26069
plotid_3500,11178
plotid_3501,17056
plotid_3502,10099
plotid_3503,12585
plotid_3504,22370
plotid_3505,10613
plotid_3506,9795
plotid_3507,15767
plotid_3508,13404
plotid_3509,25198
plotid_3510,24722
plotid_3600,16451
plotid_3601,13323
plotid_3602,8106
plotid_3603,12704
plotid_3604,21102
plotid_3605,16072
plotid_3606,15137
plotid_3607,16536
plotid_3608,20465
plotid_3609,8431
plotid_3610,26931
plotid_3700,5825
plotid_3701,12257
plotid_3702,8148
plotid_3703,17358
plotid_3704,19513
plotid_3705,15313
plotid_3706,18062
plotid_3707,18940
plotid_3708,20439
plotid_3709,14672
plotid_3710,23000
plotid_3800,3637
plotid_3801,4098
plotid_3802,3557
plotid_3803,6238
plotid_3804,16728
plotid_3805,9809
plotid_3806,19945
plotid_3807,31790
plotid_3808,22024
plotid_3809,14536
plotid_3810,28948
plotid_3900,6741
plotid_3901,4719
plotid_3902,6439
plotid_3903,4090
plotid_3904,13085
plotid_3905,10305
plotid_3906,20182
plotid_3907,8528
plotid_3908,18646
plotid_3909,20714
plotid_3910,19698
plotid_4000,8106
plotid_4001,23090
plotid_4002,16723
plotid_4003,10194
plotid_4004,11434
plotid_4005,13416
plotid_4006,18378
plotid_4007,13056
plotid_4008,8698
plotid_4009,22010
plotid_4010,35680
plotid_4100,8585
plotid_4101,20510
plotid_4102,14116
plotid_4103,4964
plotid_4104,12944
plotid_4105,15419
plotid_4106,20376
plotid_4107,4952
plotid_4108,16121
plotid_4109,11510
plotid_4110,29268
plotid_4200,28780
plotid_4201,30980
plotid_4202,23501
plotid_4203,10043
plotid_4204,13536
plotid_4205,11804
plotid_4206,14702
plotid_4207,18463
plotid_4208,12494
plotid_4209,28816
plotid_4210,34809
plotid_4300,9764
plotid_4301,15897
plotid_4302,11887
plotid_4303,385
plotid_4304,14556
plotid_4305,18096
plotid_4306,13388
plotid_4307,14165
plotid_4308,14745
plotid_4309,13179
plotid_4310,28912
plotid_4400,17904
plotid_4401,7049
plotid_4402,11056
plotid_4403,6805
plotid_4404,11910
plotid_4405,29274
plotid_4406,8960
plotid_4407,16070
plotid_4408,17220
plotid_4409,11662
plotid_4410,20740
plotid_4500,24854
plotid_4501,11110
plotid_4502,4834
plotid_4503,7340
plotid_4504,17568
plotid_4505,3995
plotid_4506,20441
plotid_4507,7123
plotid_4508,12496
plotid_4509,12303
plotid_4510,12799
plotid_4600,22464
plotid_4601,2953
plotid_4602,5704
plotid_4603,6814
plotid_4604,3627
plotid_4605,9332
plotid_4606,6995
plotid_4607,9749
plotid_4608,437
plotid_4609,1903
plotid_4610,12097
plotid_605,12560
plotid_606,10752
plotid_607,18589
plotid_608,14647
plotid_609,17819
plotid_610,3885
plotid_701,25655
plotid_702,12173
plotid_703,14549
plotid_704,11348
plotid_705,17626
plotid_706,33121
plotid_707,31914
plotid_708,13141
plotid_709,14046
plotid_710,7050
plotid_801,33350
plotid_802,18546
plotid_803,35090
plotid_804,10629
plotid_805,18932
plotid_806,14132
plotid_807,16351
plotid_808,5735
plotid_809,13604
plotid_810,547
plotid_901,23284
plotid_902,19759
plotid_903,27694
plotid_904,10683
plotid_905,21126
plotid_906,11364
plotid_907,9049
plotid_908,4622
plotid_909,5497
plotid_910,257
